,Index,Tweet,Hindi,English,Other
11,12,modi/HI ji/EN k/EN maar/HI me/EN pehli/HI maar/HI #notebandi/OTHER to/EN aap/EN ko/EN barbad/HI kiya/HI lekin/HI sab/HI vyaapari/HI maar/HI se/EN khush/HI hai/EN iss/EN liye/HI to/EN log/EN bjp/EN ko/EN har/EN chunav/HI me/EN jita/HI rahe/HI ,"[('modi', 'QFC'), ('maar', 'QF'), ('kiya', 'NN'), ('sab', 'PSP'), ('maar', 'NN'), ('khush', 'PSP'), ('rahe', 'VM')]","[('k', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('ko', 'VB'), ('iss', 'JJ'), ('to', 'TO'), ('bjp', 'VB'), ('har', 'VB'), ('me', 'PRP')]",
12,13,sirji/HI fdi/EN to/EN single/EN brand/EN me/EN approve/EN hai/EN multibrand/HI me/EN nahi/HI logo/EN ko/EN gumraah/HI karne/HI k/EN liye/HI sharm/EN nahi/HI pic/EN twitter/EN com/EN ftn/EN hm/EN vp/EN ,"[('sirji', 'QO'), ('multibrand', 'NN'), ('nahi', 'PSP'), ('karne', 'NN'), ('liye', 'PSP'), ('nahi', 'VM')]","[('to', 'TO'), ('brand', 'NN'), ('approve', 'VB'), ('ko', 'NN'), ('twitter', 'NN'), ('ftn', 'NN'), ('vp', 'NN')]",
13,14,#aadhaarcard/OTHER banane/HI lambi/HI line/EN mein/EN khade/HI hue/EN log/EN kya/EN itni/HI aasaani/HI se/EN #notebandi/OTHER aur/EN #gst/OTHER ki/EN taqleefein/HI bhool/HI gaye/EN kya/EN hum/EN bina/EN koi/EN virodh/HI kiye/HI phir/HI mushkilon/HI mein/EN dhakele/HI ja/EN rahe/HI hain/EN pic/EN twitter/EN com/EN wncag/EN gecg/EN ,"[('lambi', 'QFC'), ('aasaani', 'QF'), ('taqleefein', 'NN'), ('kiye', 'VM'), ('mushkilon', 'VAUX'), ('dhakele', 'VAUX'), ('rahe', 'VAUX')]","[('mein', 'NN'), ('hue', 'NN'), ('kya', 'NN'), ('gaye', 'NN'), ('hum', 'NN'), ('koi', 'NN'), ('pic', 'NN'), ('com', 'NN'), ('gecg', 'NN')]",#aadhaarcard #notebandi #gst
14,15,jab/EN aapne/HI #notebandi/OTHER ki/HI janta/HI ne/EN aapka/HI dukh/HI sehte/HI hue/EN bhi/HI pura/EN saath/HI diya/HI bas/EN usi/HI tarah/EN is/EN #reservation/OTHER ke/EN kide/EN ko/EN bhi/HI sanvidhan/HI se/EN nikal/HI dijiye/HI pura/EN desh/HI samarthan/HI dega/HI reservation/EN nahi/HI give/EN economic/EN support/EN to/EN ebc/EN s/EN which/EN shouldn/EN t/EN be/EN caste/EN based/EN ,"[('janta', 'QFC'), ('aapka', 'QF'), ('sehte', 'NN'), ('bhi', 'PSP'), ('saath', 'NN'), ('bhi', 'PSP'), ('dijiye', 'NN'), ('desh', 'VM'), ('dega', 'VAUX'), ('nahi', 'SYM')]","[('jab', 'NN'), ('bas', 'NN'), ('tarah', 'NN'), ('kide', 'FW'), ('se', 'JJ'), ('economic', 'JJ'), ('to', 'TO'), ('s', 'VB'), ('shouldn', 'NN'), ('be', 'VB'), ('based', 'VBN')]",#notebandi #reservation
15,16,#notebandi/OTHER ke/EN bad/EN sahab/HI kaha/HI gaye/EN the/EN parliament/EN mein/EN attendance/EN kioo/EN nahi/HI diye/HI the/EN jo/EN aaj/HI papa/EN ke/EN pappi/HI bhonk/HI rahe/HI hai/EN twitter/EN per/EN ,"[('kaha', 'VM'), ('diye', 'VAUX'), ('pappi', 'VAUX'), ('rahe', 'VAUX')]","[('bad', 'JJ'), ('the', 'DT'), ('mein', 'NN'), ('kioo', 'VBZ'), ('jo', 'JJ'), ('papa', 'NN'), ('twitter', 'NN')]",#notebandi
16,17,#gst/OTHER lagu/HI kar/HI k/EN vedesh/HI bhagega/HI uske/HI bad/EN waha/HI s/EN kutte/HI ki/EN trh/EN bhokega/HI #bhaiyao/OTHER #behano/OTHER acche/HI din/EN aagaye/HI hai/EN ,"[('kar', 'UNK'), ('vedesh', 'VM'), ('uske', 'CC'), ('waha', 'PRP'), ('kutte', 'NN'), ('acche', 'NN'), ('aagaye', 'PSP')]","[('trh', 'NN')]",#gst #bhaiyao
17,18,jaise/HI #notebandi/OTHER se/EN pura/EN desh/EN ko/EN faida/HI hua/EN hai/EN aise/EN #gstbill/OTHER bi/EN hogi/HI kal/HI pura/EN furniture/EN shop/EN wale/HI strike/EN kiye/HI the/EN chandigarh/HI mein/EN ,"[('jaise', 'RBC'), ('faida', 'RB'), ('hogi', 'SYM')]","[('se', 'NN'), ('desh', 'JJ'), ('hai', 'NN'), ('pura', 'NN'), ('shop', 'NN'), ('strike', 'NN'), ('the', 'DT'), ('mein', 'NN')]",#gstbill
18,19,isme/HI koi/EN doubt/EN nahi/HI ki/HI #notebandi/OTHER abhitak/HI ka/EN sabse/HI bada/HI #arthikghotala/OTHER hai/EN jo/EN maine/EN aj/EN se/EN mahine/HI pahle/HI hi/EN kaha/HI tha/EN #gafeebokikamartoddi/OTHER ,"[('isme', 'VAUX'), ('ki', 'CC'), ('abhitak', 'NN'), ('sabse', 'VM'), ('mahine', 'SYM')]","[('doubt', 'NN'), ('jo', 'NN'), ('aj', 'NN'), ('hi', 'NN'), ('tha', 'NN')]",#arthikghotala
19,20,kaha/HI to/EN gaya/HI tha/HI ki/HI #notebandi/OTHER se/EN interest/EN rate/EN badhega/HI per/EN yaha/HI to/EN ulta/HI hi/EN ho/EN reha/HI hai/EN ,"[('kaha', 'VM'), ('gaya', 'VAUX'), ('ki', 'CC'), ('reha', 'CC')]","[('se', 'JJ'), ('rate', 'NN'), ('per', 'IN'), ('to', 'TO'), ('hi', 'VB')]",
20,21,lekin/EN fir/EN bhi/HI #samratmodi/OTHER mahan/EN hain/EN unhone/HI #notebandi/OTHER se/EN desh/HI ki/EN janta/HI ka/EN dil/HI aur/EN elections/EN jeete/HI hain/EN ,"[('bhi', 'INTF'), ('unhone', 'JJ'), ('jeete', 'VM')]","[('lekin', 'FW'), ('mahan', 'NN'), ('se', 'FW'), ('ki', 'FW'), ('ka', 'FW'), ('aur', 'NN')]",
21,22,almost/EN sabhi/HI #mps/OTHER ko/EN malum/EN tha/EN ki/EN #notebandi/OTHER hogi/HI lekin/HI #public/OTHER ko/EN pta/EN nhi/HI tha/EN to/EN kaise/HI kahe/HI hum/EN aazad/HI hai/EN ,"[('hogi', 'CC'), ('kaise', 'WQ')]","[('almost', 'RB'), ('malum', 'NN'), ('ki', 'NN'), ('pta', 'NN'), ('tha', 'NN'), ('hum', 'NN'), ('hai', 'NN')]",#mps #public
22,23,#notebandi/OTHER aaj/HI sab/HI dalit/HI samajdar/HI hain/EN bahutlog/HI ko/EN ummed/HI thee/EN bahinji/HI iss/EN crusial/EN stage/EN me/EN gareebon/HI ko/EN kuch/HI paisa/HI bant/HI dengi/HI per/EN nahi/HI banta/HI #notebandi/OTHER ,"[('sab', 'QFC'), ('samajdar', 'QF'), ('bahutlog', 'NN'), ('ummed', 'PSP'), ('bahinji', 'NN'), ('paisa', 'VM'), ('dengi', 'VAUX'), ('nahi', 'SYM')]","[('crusial', 'JJ'), ('me', 'PRP'), ('ko', 'VB')]",#notebandi #notebandi
23,24,tera/HI hardwork/HI dekh/HI kar/HI harvard/EN wale/HI bhi/HI sharma/EN gaye/EN kis/EN ulloo/HI ne/EN kaha/HI tha/EN #notebandi/OTHER karne/HI ko/EN rbi/EN ki/EN saakh/HI mitti/HI mein/EN mila/HI di/EN pic/EN twitter/EN com/EN obiva/EN ,"[('tera', 'QFC'), ('dekh', 'QF'), ('bhi', 'NN'), ('ulloo', 'PSP'), ('kaha', 'VM'), ('mitti', 'PSP'), ('mila', 'VM')]","[('harvard', 'NN'), ('gaye', 'NN'), ('ko', 'NN'), ('ki', 'NN'), ('pic', 'NN'), ('com', 'NN')]",#notebandi
24,25,#notebandi/OTHER ke/EN th/EN month/EN mein/EN vikas/EN kisi/HI samay/HI bhi/HI ho/EN sakta/HI hai/EN ,"[('kisi', 'UNK'), ('bhi', 'VM'), ('sakta', 'SYM')]","[('th', 'NN'), ('mein', 'NN')]",#notebandi
25,26,reality/EN ye/EN hai/EN #notebandi/OTHER fail/EN ho/EN gayi/HI hai/EN lakh/HI carore/EN ki/EN jagah/HI lakh/HI carore/EN aa/EN gaye/EN hai/EN #sushilvaswani/OTHER #notebandi/OTHER ,"[('gayi', 'UNK'), ('lakh', 'VM'), ('lakh', 'SYM')]","[('reality', 'NN'), ('hai', 'NN'), ('fail', 'VBP'), ('ki', 'NN'), ('aa', 'NN'), ('hai', 'NN')]",#notebandi
26,27,#notebandi/OTHER aur/EN #gst/OTHER jaise/EN desition/EN lena/EN matlb/EN khud/HI khushi/HI hai/EN aisa/EN desh/HI ke/EN liye/HI koi/EN aur/EN to/EN nhi/HI kar/HI sakta/HI or/EN jis/EN trh/EN se/EN #notebandi/OTHER humara/HI diwala/HI nikalne/HI k/EN baad/HI flop/EN hua/EN tha/EN thk/EN usi/HI #gst/OTHER v/EN humara/HI diwala/HI nikaal/HI k/EN flop/EN ho/EN jayega/HI ,"[('khushi', 'UNK'), ('kar', 'VM'), ('diwala', 'VAUX'), ('usi', 'VAUX'), ('diwala', 'SYM')]","[('desition', 'NN'), ('matlb', 'NN'), ('aisa', 'NN'), ('ke', 'NN'), ('koi', 'NN'), ('to', 'TO'), ('or', 'CC'), ('trh', 'VB'), ('k', 'NN'), ('flop', 'VB'), ('tha', 'NN'), ('v', 'NN'), ('k', 'NN'), ('ho', 'NN')]",#notebandi #gst #notebandi
27,28,bas/EN #notebandi/OTHER aur/EN #gst/OTHER ke/EN name/EN pr/EN corporate/EN vip/EN k/EN bhala/HI krne/HI ke/EN liye/HI h/EN bas/EN #tripletalaq/OTHER ,"[('bhala', 'INJ')]","[('bas', 'NN'), ('aur', 'NN'), ('ke', 'NN'), ('pr', 'NN'), ('vip', 'NN'), ('ke', 'NN'), ('h', 'NN')]",#tripletalaq
28,29,sharma/EN #notebandi/OTHER ki/HI wajah/HI se/EN srijan/HI scam/EN ujagar/HI hua/EN paisa/HI janha/HI ka/EN tanha/HI fas/EN gya/HI tha/EN ye/EN tamacha/HI nahi/HI to/EN or/EN kya/EN hai/EN ,"[('ki', 'CC'), ('janha', 'NN'), ('tanha', 'VM'), ('gya', 'VAUX'), ('nahi', 'SYM')]","[('sharma', 'JJ'), ('se', 'NN'), ('scam', 'NN'), ('hua', 'NN'), ('ye', 'NN'), ('or', 'CC'), ('hai', 'NN')]",
29,30,#notebandi/OTHER is/EN a/EN biggest/EN scam/EN dec/EN tak/HI lakh/HI cro/EN vapak/HI aa/EN gaya/HI thai/EN uske/HI baad/HI aap/EN bole/EN #notebandi/OTHER se/EN something/EN kucch/HI hajarcaror/HI rupye/HI banko/HI mein/EN jama/EN huye/HI to/EN fir/EN vo/EN aap/EN ne/EN kis/EN kam/HI mein/EN lagaye/HI ,"[('tak', 'UNK'), ('baad', 'VM'), ('kucch', 'VAUX'), ('rupye', 'VAUX'), ('huye', 'SYM')]","[('a', 'DT'), ('scam', 'NN'), ('cro', 'NN'), ('aa', 'NN'), ('thai', 'JJ'), ('bole', 'NN'), ('se', 'NN'), ('mein', 'NN'), ('fir', 'VBD'), ('aap', 'JJ'), ('kis', 'NNS'), ('mein', 'VBP')]",#notebandi
30,31,mitronnnnnnn/HI y/EN word/EN use/EN na/EN kara/EN kuch/HI #notebandi/OTHER wali/EN feeling/EN aati/HI hai/EN ,"[('mitronnnnnnn', 'UNK'), ('kuch', 'VM'), ('aati', 'SYM')]","[('word', 'NN'), ('na', 'TO'), ('wali', 'NN')]",
31,32,note/EN phenk/EN k/EN koyi/HI bhi/HI election/EN jeet/HI sakta/HI hain/EN but/EN #notebandi/OTHER karke/HI ek/EN hi/EN insaan/HI election/EN jeet/HI sakta/HI hai/EN woh/HI hai/EN #narendramodi/OTHER ji/EN #gujaratverdict/OTHER #thoughtoftheday/OTHER #gujaratelection/OTHER #himachalverdict/OTHER #gujaratresults/OTHER ,"[('bhi', 'UNK'), ('jeet', 'VM'), ('insaan', 'VAUX'), ('jeet', 'SYM')]","[('note', 'NN'), ('k', 'NN'), ('hain', 'NN'), ('ek', 'JJ'), ('hai', 'NN'), ('hai', 'NN'), ('ji', 'NN')]",#notebandi #thoughtoftheday #himachalverdict
32,33,#notebandi/OTHER me/EN line/EN me/EN log/EN mare/EN atm/EN ki/EN aur/EN bank/EN ki/EN ab/EN iske/HI hone/EN se/EN ghar/HI ghar/HI mout/EN naachegi/HI suiside/EN se/EN #harharmodighargharmodi/OTHER ab/EN bhuktto/HI ,"[('iske', 'UNK'), ('ghar', 'VM'), ('naachegi', 'SYM')]","[('line', 'NN'), ('log', 'NN'), ('atm', 'NN'), ('aur', 'NN'), ('ki', 'FW'), ('se', 'FW'), ('se', 'FW'), ('ab', 'NN')]",#notebandi
33,34,tumko/HI aur/EN ko/EN ek/EN hi/EN jhatake/HI #notebandi/OTHER me/EN bhikhmanga/HI bana/EN diya/HI ab/EN tumhare/HI jaise/HI #blackmoneyholder/OTHER jindagi/HI bhar/HI bheekh/HI mangega/HI ,"[('tumko', 'UNK'), ('bhikhmanga', 'VM'), ('diya', 'VAUX'), ('tumhare', 'VAUX'), ('bhar', 'VAUX'), ('mangega', 'SYM')]","[('ko', 'NN'), ('hi', 'NN')]",#notebandi #blackmoneyholder
34,35,#notebandi/OTHER ka/EN zakhm/HI bhara/HI nahi/HI ki/EN ye/EN gst/EN ka/EN ghaav/HI de/EN gaye/EN pehle/HI se/EN hi/EN berozgari/HI ki/EN maar/HI mahila/HI suraksha/HI nahi/HI crime/EN ratio/EN badgaya/HI hain/EN ye/EN hai/EN #modi/OTHER ji/EN ke/EN acche/HI din/EN #arvindkejriwal/OTHER #rahulgandhi/OTHER #aajtak/OTHER #abp/OTHER #ndtv/OTHER #ravishkumar/OTHER #hardikpatel/OTHER ,"[('zakhm', 'UNK'), ('nahi', 'VM'), ('pehle', 'VAUX'), ('mahila', 'VAUX'), ('nahi', 'VAUX'), ('acche', 'SYM')]","[('ye', 'JJ'), ('ka', 'NN'), ('de', 'IN'), ('hi', 'FW'), ('ki', 'FW'), ('ratio', 'NN'), ('hain', 'NN'), ('hai', 'NN'), ('ji', 'NN')]",#notebandi #arvindkejriwal #aajtak #ndtv #hardikpatel
35,36,#notebandi/OTHER mein/EN temporary/EN ban/EN to/EN lag/EN chuka/HI hai/EN koi/EN baat/HI nahin/HI hai/EN ,"[('chuka', 'RBC'), ('nahin', 'SYM')]","[('temporary', 'JJ'), ('to', 'TO'), ('koi', 'VB')]",#notebandi
36,37,aur/EN failure/EN #notebandi/OTHER main/EN bar/EN niyam/HI badla/HI now/EN #gst/OTHER kam/HI karna/HI sai/EN pehla/HI budhiman/HI sochta/HI h/EN aur/EN kam/HI karna/HI ka/EN bad/EN murakh/HI sochta/HI h/EN ,"[('badla', 'UNK'), ('karna', 'VM'), ('pehla', 'VAUX'), ('sochta', 'VAUX'), ('karna', 'VAUX'), ('sochta', 'SYM')]","[('aur', 'JJ'), ('bar', 'NN'), ('aur', 'NN'), ('bad', 'JJ')]",#notebandi #gst
37,38,#arunshorry/OTHER ji/EN aakhir/HI itne/HI dino/EN baad/HI apko/HI yaad/HI aa/EN rha/HI hai/EN ki/EN #notebandi/OTHER galat/HI faisla/HI tha/EN itne/HI dino/EN tak/HI kisne/HI kidnep/EN kiya/HI hua/EN tha/EN ,"[('aakhir', 'UNK'), ('apko', 'VM'), ('faisla', 'VAUX'), ('itne', 'VAUX'), ('tak', 'SYM')]","[('dino', 'NN'), ('aa', 'NN'), ('hai', 'NN'), ('kidnep', 'NN'), ('hua', 'NN')]",#arunshorry #notebandi
38,39,aap/EN jaise/EN paid/EN media/EN jinka/HI political/EN agenda/EN hai/EN ki/EN asaliyat/HI pata/HI chal/HI gayi/HI bas/EN yahi/HI fayda/HI hua/EN #notebandi/OTHER se/EN ,"[('jinka', 'UNK'), ('pata', 'VM'), ('gayi', 'VAUX'), ('yahi', 'SYM')]","[('aap', 'NN'), ('paid', 'VBD'), ('agenda', 'NN'), ('ki', 'NN'), ('hua', 'NN'), ('se', 'NN')]",
39,40,ye/EN tir/HI kahi/HI #ravan/OTHER ko/EN miss/EN kar/HI ke/EN kisi/HI #aamadmi/OTHER ko/EN naa/HI lag/EN jaye/EN samhhal/HI ke/EN mariyega/HI sir/EN #notebandi/OTHER and/EN #gst/OTHER ki/EN tarah/EN misfire/EN na/EN ho/EN jaye/EN ,"[('kahi', 'UNK'), ('kar', 'VM'), ('kisi', 'VAUX'), ('samhhal', 'VAUX'), ('mariyega', 'SYM')]","[('ye', 'NN'), ('ko', 'NN'), ('ko', 'NN'), ('lag', 'NN'), ('tarah', 'NN'), ('na', 'TO'), ('jaye', 'NN')]",#notebandi #gst
40,41,bjp/EN ke/EN up/EN me/EN jeet/EN #notebandi/OTHER aur/EN #gts/OTHER ke/EN baad/HI yahi/HI proove/EN karte/HI hai/EN ki/EN long/EN sab/HI paresani/HI ke/EN baad/HI bhi/HI bjp/EN kee/EN sath/HI hai/EN vikas/EN kee/EN sath/HI haai/HI aur/EN isse/HI bhi/HI aacha/HI result/EN gujrat/HI me/EN milega/HI picture/EN abhi/HI baki/HI hai/EN mere/EN dost/EN ,"[('yahi', 'QFC'), ('karte', 'QF'), ('sab', 'NN'), ('bhi', 'PSP'), ('haai', 'NN'), ('isse', 'PSP'), ('aacha', 'NN'), ('gujrat', 'VM'), ('milega', 'VAUX'), ('abhi', 'SYM')]","[('bjp', 'VB'), ('up', 'RP'), ('jeet', 'NN'), ('aur', 'IN'), ('ke', 'FW'), ('ki', 'FW'), ('ke', 'FW'), ('kee', 'FW'), ('hai', 'FW'), ('kee', 'FW'), ('hai', 'NN'), ('dost', 'NN')]",
41,42,#narendramodi/OTHER ji/EN ab/EN janta/HI bevakoof/HI nai/EN banne/HI vali/HI ye/EN jo/EN ap/EN dikhane/HI ki/EN kosis/HI kar/HI rahe/HI k/EN ap/EN garibon/HI k/EN sath/HI h/EN qki/HI ap/EN b/EN kabhi/HI garib/HI parivar/HI se/EN the/EN to/EN bhul/HI jaiye/HI qki/HI janta/HI #notebandi/OTHER aur/EN #gst/OTHER k/EN thappad/EN kha/HI k/EN samajh/HI gai/HI k/EN india/EN garib/HI k/EN sath/HI h/EN ya/EN businessmen/EN k/EN sath/HI ,"[('bevakoof', 'QFC'), ('banne', 'QF'), ('kar', 'NN'), ('garibon', 'PSP'), ('sath', 'NN'), ('qki', 'PSP'), ('garib', 'NN'), ('jaiye', 'PSP'), ('janta', 'NN'), ('kha', 'VM'), ('samajh', 'VAUX'), ('garib', 'VAUX'), ('sath', 'SYM')]","[('ab', 'NN'), ('ye', 'NN'), ('ap', 'NN'), ('ki', 'NN'), ('k', 'NN'), ('b', 'NN'), ('se', 'NN'), ('to', 'TO'), ('aur', 'VB'), ('k', 'NN'), ('k', 'NNP'), ('ya', 'NNP'), ('k', 'VB')]",#narendramodi
42,43,aisa/EN na/EN ho/EN modi/HI sarkaar/HI nov/EN ki/EN #notebandi/OTHER tarah/EN dec/EN ko/EN sanjay/EN leela/HI bhansali/HI #padmavati/OTHER #film/OTHER par/EN ban/EN laga/HI de/EN ,"[('sarkaar', 'INTF'), ('leela', 'JJ'), ('laga', 'VM')]","[('aisa', 'JJ'), ('ho', 'NN'), ('ki', 'NN'), ('tarah', 'NN'), ('ko', 'NN'), ('par', 'NN')]",#padmavati
43,44,#bjpevmfraud/OTHER krke/EN #voter/OTHER ka/EN #vote/OTHER apna/HI bana/EN lete/HI hy/EN phir/HI satta/HI me/EN aakar/HI desh/HI me/EN #moblynching/OTHER jesi/HI aatankwadi/HI harkat/HI karate/EN hy/EN #notebandi/OTHER krke/EN desh/HI ka/EN sara/EN maal/HI apne/HI #jayshah/OTHER jese/EN pillo/HI ko/EN de/EN dete/HI hy/EN #gst/OTHER laga/HI kr/EN pure/EN desh/HI ko/EN lut/HI te/EN hy/EN #shame/OTHER ,"[('satta', 'QFC'), ('aakar', 'QF'), ('jesi', 'NN'), ('harkat', 'PSP'), ('maal', 'NN'), ('pillo', 'PSP'), ('laga', 'VM')]","[('bana', 'NN'), ('hy', 'VB'), ('me', 'PRP'), ('hy', 'JJ'), ('krke', 'FW'), ('ka', 'FW'), ('de', 'FW'), ('hy', 'FW'), ('pure', 'NN'), ('ko', 'NN'), ('te', 'NN')]",#bjpevmfraud #voter #vote #jayshah #shame
44,45,bharat/HI ke/EN ke/EN demonetization/EN mein/EN kitna/EN kala/HI dhan/HI real/EN mein/EN aaya/HI accha/HI hua/EN ye/EN prashna/HI miss/EN word/EN chillar/HI ko/EN nahi/HI puccha/HI gaya/HI #misschillar/OTHER #missworld/OTHER #demonetisation/OTHER #notebandi/OTHER #modi/OTHER #bjp/OTHER #gujrat/OTHER ,"[('bharat', 'QO'), ('kala', 'NN'), ('aaya', 'NN'), ('prashna', 'NN'), ('puccha', 'NN')]","[('ke', 'NN'), ('mein', 'NN'), ('real', 'JJ'), ('hua', 'NN'), ('word', 'NN'), ('ko', 'NN')]",#misschillar #demonetisation #modi #gujrat
45,46,#notebandi/OTHER ke/HI ek/HI saal/HI baad/HI indian/EN currency/EN ki/EN value/EN itni/HI badh/HI gayi/HI ki/EN #chillar/OTHER bhi/HI jeet/HI gaye/EN ,"[('ek', 'UNK'), ('baad', 'VM'), ('badh', 'VAUX'), ('bhi', 'SYM')]","[('currency', 'NN'), ('value', 'NN'), ('ki', 'VBD'), ('gaye', 'NNS')]",#notebandi
