,0
15,16 notebandi ke bad sahab kaha gaye the parliament mein attendance kioo nahi diye the jo aaj papa ke pappi bhonk rahe hai twitter per
16,17 gst lagu kar k vedesh bhagega uske bad waha s kutte ki trh bhokega bhaiyao#behano acche din aagaye hai
17,18 jaise notebandi se pura desh ko faida hua hai aise gstbill bi hogi kal pura furniture shop wale strike kiye the chandigarh mein
18,19 isme koi doubt nahi ki notebandi abhitak ka sabse bada arthikghotala hai jo maine aj se mahine pahle hi kaha tha gafeebokikamartoddi
19,20 kaha to gaya tha ki notebandi se interest rate badhega per yaha to ulta hi ho reha hai
20,21 lekin fir bhi samratmodi mahan hain unhone notebandi se desh ki janta ka dil aur elections jeete hain
21,22 almost sabhi mps ko malum tha ki notebandi hogi lekin public ko pta nhi tha to kaise kahe hum aazad hai
22,23 notebandi aaj sab dalit samajdar hain bahutlog ko ummed thee bahinji iss crusial stage me gareebon ko kuch paisa bant dengi per nahi banta @radhacharandas notebandi
23,24 @narendramodi tera hardwork dekh kar harvard wale bhi sharma gaye kis ulloo ne kaha tha notebandi karne ko rbi ki saakh mitti mein mila di pic twitter com obiva
24,25 notebandi ke th month mein vikas kisi samay bhi ho sakta hai @jalajboy @rsaraf
25,26 reality ye hai notebandi fail ho gayi hai lakh carore ki jagah lakh carore aa gaye hai sushilvaswani notebandi
26,27 notebandi aur gst jaise desition lena matlb khud khushi hai aisa desh ke liye koi aur to nhi kar sakta or jis trh se notebandi humara diwala nikalne k baad flop hua tha thk usi gst v humara diwala nikaal k flop ho jayega
27,28 bas notebandi aur gst ke name pr corporate vip k bhala krne ke liye h bas tripletalaq
28,29 @abhisar sharma notebandi ki wajah se srijan scam ujagar hua paisa janha ka tanha fas gya tha ye tamacha nahi to or kya hai
29,30 notebandi is a biggest scam dec tak lakh cro vapak aa gaya thai @awasthis @amishdevgan @sardanarohit uske baad aap bole notebandi se something kucch hajarcaror rupye banko mein jama huye to fir vo aap ne kis kam mein lagaye @narendramodi
30,31 mitronnnnnnn y word use na kara kuch notebandi wali feeling aati hai
31,32 note phenk k koyi bhi election jeet sakta hain but notebandi karke ek hi insaan election jeet sakta hai woh hai narendramodi ji gujaratverdict thoughtoftheday gujaratelection himachalverdict gujaratresults
32,33 notebandi me line me log mare atm ki aur bank ki ab iske hone se ghar ghar mout naachegi suiside se harharmodighargharmodi ab bhuktto
33,34 tumko aur @officeofrg ko ek hi jhatake notebandi me bhikhmanga bana diya ab tumhare jaise blackmoneyholder jindagi bhar bheekh mangega
34,35 notebandi ka zakhm bhara nahi ki ye gst ka ghaav de gaye pehle se hi berozgari ki maar mahila suraksha nahi crime ratio badgaya hain ye hai modi ji ke acche din arvindkejriwal rahulgandhi aajtak abp ndtv ravishkumar hardikpatel
35,36 notebandi mein temporary ban to lag chuka hai koi baat nahin hai
36,37 aur failure notebandi main bar niyam badla now gst kam karna sai pehla budhiman sochta h aur kam karna ka bad murakh sochta h
37,38 arunshorry ji aakhir itne dino baad apko yaad aa rha hai ki notebandi galat faisla tha itne dino tak kisne kidnep kiya hua tha
38,39 aap jaise paid media jinka political agenda hai ki asaliyat pata chal gayi bas yahi fayda hua notebandi se
39,40 ye tir kahi ravan ko miss kar ke kisi aamadmi ko naa lag jaye samhhal ke mariyega sir notebandi and gst ki tarah misfire na ho jaye
40,41 bjp ke up me jeet notebandi aur gts ke baad yahi proove karte hai ki long sab paresani ke baad bhi bjp kee sath hai vikas kee sath haai aur isse bhi aacha result gujrat me milega picture abhi baki hai mere dost
41,42 @narendramodi narendramodi ji ab janta bevakoof nai banne vali ye jo ap dikhane ki kosis kar rahe k ap garibon k sath h qki ap b kabhi garib parivar se the to bhul jaiye qki janta notebandi aur gst k thappad kha k samajh gai k @bjp india garib k sath h ya businessmen k sath
42,43 aisa na ho modi sarkaar nov ki notebandi tarah dec ko sanjay leela bhansali padmavati film par ban laga de
43,44 bjpevmfraud krke voter ka vote apna bana lete hy phir satta me aakar desh me moblynching jesi aatankwadi harkat karate hy notebandi krke desh ka sara maal apne jayshah jese pillo ko de dete hy gst laga kr pure desh ko lut te hy shame
44,45 bharat ke ke demonetization mein kitna kala dhan real mein aaya accha hua ye prashna miss word chillar ko nahi puccha gaya misschillar missworld demonetisation notebandi modi bjp gujrat
45,46 notebandi ke ek saal baad indian currency ki value itni badh gayi ki chillar bhi jeet gaye
46,47 sir gst aur notebandi ke august aur ab ke results me to bahut difference hain gujaraat me poll ke anusaar iska filhal ki sarkaar par to negative effect hi hota dikh rha
47,48 jitni taklif garib ko hui notebandi aur gst se shayad hi kisi ko hui footbath par sone wale majdoor bhukhe soye bhakto ko nahi dikhaega
48,49 sir bjp valo ki to baat hi alag hai ek minute me desh ko lute kar garib kar dete hai notebandi
49,50 pehle goli maro phir socho modiji ki ye policy desh ki economy ko barbad kar rahi hai pehle tuglaqi notebandi phir gabbarsinghtax
50,51 bhool jao notebandi bhool jao gst aur bhool jao badhali kyoki aaaj hain diwali wish u all happy diwali
51,52 this diwali celebrate with notebandi phus phus anar gst kaala saanp pic twitter com ggb r wu
52,53 jo apne vote bnk ki cinta kiye bina notebandi n gst jese kade kdm utha skta h vo kuch bhi kr sakta h
53,54 inka kaam hi hai inhe paise hi is kaam ke milte hai notebandi inhi jaise gaddaro ko benakab karta treat for nation rohingyas
54,55 notebandi se din pehle company band kya mazra h bhai kiske paise safed kiye @amitshah k launde ne notebandi richardthaler
55,56 tumhe islam aur hindu hi dikhai deta hai kya evm aur notebandi ghotala dikhao
56,57 surgicalstrick k sbut nh dye to army se bhrosa uth gya notebandi kye to gvt se election hare to evm se aise log duniya se q nh uth jate
57,58 kumbh karan ki abb nind khuli aa gaye bhi jhut ki vakalat karne notebandi per kiya lollipop chuss rahe the anna ya abhi contract mila
58,59 masterstroke to modiji ne usi din maar diya tha jab notebandi ki thi pic twitter com psro jdvfh
59,60 you are in shock hawaiyan udd gyi notebandi chal gya janta ka thapad pad gya aap ab chaplusi par na utar jaiyega
60,61 @mamataofficial @sardanarohit woh jo notebandi k agst aamarananshan karne waale the uska kya hua mare nahin ab tak
61,62 notebandi ke baad bjp sare elections jit rahi hai fir v opposition ko samajh me nahi aa raha hai ki public modi ji ke saath hai uppolls
62,63 after notebandi maharastra odhisa ke logon ko mil gaye hain l march ko apko bhi mil jayega and get well soon
63,64 notebandi se janta kitni pareshan hai ki demonetisation ke baad har election me @bjp india ka jalwa badhta ja raha hai
64,65 beshak notebandi se corruption puri tarah nhi jayega lekin ye phla or bhut bada kadam h corruption ko rokne ke liye
65,66 bmcelection vyapariyo se ek appeal notebandi ka jawab abhi nahi to kabhi nahi vote for congress vote for progress @sanjaynirupam
66,67 @officeofrg @yadavakhilesh iseeliye humne notebandi ka virodh kiya tha gareeb nirdosh longonko arrest karte hain
67,68 uttarpradesh ko aisa beta nahee chahiyeh jo apni saal ki maa ko notebandi ki line mein khada kar diya modigovt days upelection pic twitter com z quu h e
68,69 @pappu @maya @kejri ko notebandi ki pareshani nahi hoti kaise fake currency curroption ka ilaj ek teeke se hota agarmodijidoctorhote
69,70 yehi hi nahi notebandi ki maar khud @pmoindia @narendramodi par bhi pado hai mnth se videsh nahi gaye hai statepolls
70,71 ye notebandi se aam kisan public ko line me laga k tabah kiya ab incometaxwale nirdosh logo ko bhi notice bhej k tang kar rahe
71,72 pahle modi ki notebandi ne beda garq kiya aaj modi jaitly ke budget ne rahul @officeofrg baba barse na to kya kare
72,73 a small farmer in mahoba uttarpradesh matar rs kilo bech raha hun notebandi ke kaaran ab chunaav me batayenge inko
73,74 ye to pura desh jaanta hai ki scam karna kiska dharm h
74,75 sabse bada scam notebandi isse bada b koi scam ho sakta h
75,76 @kamaalrkhan shahrukh khan ke promotion ki wajah s ek insan ki mout hogyi notebandi s to log jaan gwa chuke uska zimmedar kon
76,77 notebandi fail hai bhai hume laga hi tha ki garibo ka fayeda hoga kuch na hua vo to bas up election me fayeda uthana tha inhe
77,78 bahut kam log jante hain ki notebandi modi ji k liye blue whale game ka pehla task tha
78,79 main bhi whole level pe bol raha hoon kiske life ne kya kami as gayi hai notebandi ke baad tu padha likhna hai na gyani
79,80 are koi to batao ab kya hoa notebandi se mujhe lagta hai upelection me#akhileshyadav ko vote kre wahi he up ko sunder bna sakte hai
80,81 notebandi se paiso ki value badi hai aur log jo hai simit rup se dhire dhire expensive karna sik rhe hai
81,82 @narendramodi bank employees vyapariyon se bilkul achha behave nahi kar rahe hai pls kuch kijiye sir notebandi ki takleef hone lagi
82,83 notebandi se dino main corruption wese he khatam hua hain jese fair lovely se dino main ladkiya gori ho jaati hai
83,84 notebandi se khatra @narendramodi ko ho raha hai aur z suraksha babaramdev amarsingh ko conection kya hai
84,85 agar aaj jatley se ye pucho ki notebandi ka kya fayda hua to bhi inka same answer hoga mujhe nhi pata
85,86 @narendramodi ji woh suryadeva hai jinki vision leadership ki roshni se krantikariindia ban raha hai notebandi of corrupt politicians
86,87 abe notebandi modi ji ne apne lie to krri nhi h ek din me sab change kr dega kya tu
87,88 kal market gaya aur mall itnee bheed thee notebandi ka koi asar nahi tha khoob free spending ho rahi thee
88,89 notebandi kasam se desh ka vikas karne ko hi hui thi ab fail ho gayi to modi ji ka kya kasoor
89,90 hahaha sarvagyani pmji ko ye practical difficulty pehle se pata nahi thi jo raimashwira karke kaam nahi karta uske sath aisa hi hota hai notebandi me yehi hua tha gst me bhi but sabak shayad hi liya hoga
90,91 agar notebandi se kala paisa safed hua toh appko aur apke party walon ko toh koi problem nahin hona chayee because iska sabse bada fayda toh aaplogon ko hua hoga fir @officeofrg aur @incindia ka kala dhan safed ho gaya all thanks to @narendramodi gujratelections
91,92 bhakt chacha saare black money to swiss bank mein the switzerland mein kab ho raha hain notebandi deshvasi har kaam chhod ke ab sirf dono cheezon ka wait kar rahe hain har ek ke account mein lakh aur ayodha mein rammandir kab denge aap ke bhagwan
92,93 sir agar mai logon me aata hu to mai yahi kahunga ki i support notebandi bcoz chor log to zinda mar hi gayae or crore ke population ke liyae aisa koi rule nahi ho sakta jisme sab lo khush rahe kisi ko to dikkt hogi hi bt aapko kyun hui
93,94 bhai demonisation ko saal hogaye hai ab toh chod do this are the people jo har post ko @narendramodi notebandi aur desh ki sena se jod dete hai grow up man have a life for gods sake @piyushgoyaloffc
94,95 kya duplicate note aur blackmoney sirf aur ke note mein hi aate the what about ka note
95,96 @narendramodi in notebandi se mera koi fyada na hua ho par khushi ish baat ki kuch corrupt logo ka bohut ghaata hua notebandi
96,97 nov ne ke notes band kar diye nov ne saansein band kar di notebandi delhismog
97,98 abhi thoda time pehle pappu ne kaha tha ki mr modi sirf udyogpatio ke liye hai ab kaha ki modi ji ne udyogpatio ko barbaad kar diya hai notebandi karke bhai apni khud ki hi statement agli statement se galat sabit karke apna majak banate ho
98,99 notebandi anivary modi jee hum naraj ho sakte hai lekin gaddar nahi not bandi ko year hua badhai ho
99,100 modi ne notebandi toh kar di par hamaare jaise foreveralone engineers ke liye bandi kab dhund dega kya yahi hai acche din
100,101 lagta hai @aamaadmiparty k treasury khali hogaya notebandi se iss liye tho raghu ramrajan ko amantrana diya
101,102 notebandi haay tauba machane wale wahi h jinki kaali kamai doob gyi sirf aur sirf wahi log black day mana rahe h baki hum to anti blackmoney day manayenge
102,103 garib kal bhi carib the aj bhi garib hai notebandi sirf corruption k khilaf thi jo bhut hadd tak control me aa gayi hai
103,104 whenever i hear mitro notebandi se desh ko kitna fayda hua bhrastachar khatm ho gaya black money ka bilkul safaya ho gaya poora desh digital transaction karne laga is se kisi ko koi pareshani nahi hui inner me pic twitter com rxuqztu de
104,105 aj wahi din hai jise hum bhul nahi sakte jab kala bajariyon ki nind ud gayee thi we r thankful to our pm for notebandi
105,106 notebandi maa ne jitne paise papa ki jeb katke bachaye use bank me jama karana pada ab interest bhi mil raha hai i support note ban
106,107 notebandi it walo ka kaam asan kar diya jis ki asar saudi arab mein bhi dikhai de raha hai corruption ke khilaf
107,108 seems @ashoswai has lost his mental balance after notebandi bechara bikhari hone ke baad bus modi ko gaali deta rehta hain jab dekho
108,109 kya notebandi k jashn me unn logon k pariwar valo ko bulaya jaega jinke relatives ki banks ki line me lag k death hui
109,110 dono house mei kya congress ki majority hai unke oppose karne se bill gst ka ruk jaata notebandi karne se pehle bill pass karaya tha kya
110,111 aaj saam bje news zarur dekhe pta nai ky announcement ho jaae notebandi
111,112 notebandi kis ke liye kiya tha aaj tak khud ko convince nahi kar payi he bjp desh ko jhoot batane ke siwa orr kya kar sakti he tv pe ad de raha he jaise koi pahad tod diya ho par bata nahi pate kitna kala dhan recover hua orr demo ke faide gina rahi he jo hua hi nahi he
112,113 wo triple talaq wali mahilaye kahin dikhe to mera salaam bolna u p chunaav ke baad dikhe nahi
113,114 bhai hme congress ko vote dekar kasmir pakistan ko nhi deni hai muslim virodhi hote to tripletalaq pe ban nhi hota samjhe
114,115 bade afsos ki baat h jis desh m nari durga aur laxmi ka roop mani jati ho wha tripletalaq aur baalvivah jaise issue h happy women s daypic twitter com pxlj djzs
115,116 my question to @republic arnab jo apni maa bahan n beti ko tripletalaq se mukt nahi kiye woh vande mataram gayenge
116,117 kaltak sc ka tripletalaq opionion pe liberals banehue bhaktgang aaj sc ki hinduism ke upar opinion se bhokalagaye poora jaagobhaktojaago
117,118 o behenji aap muslim women ke haq ki awaaz kyun nahi uthati halala tripletalaq polygamy
118,119 thoda tripletalaq aur burkha pe bhi bol do mahashay wahan kya aap ko selective amnesia ho jata hai
119,120 intolerance is only standing against leftists triple talaq toh khuda ki rahmat hai bas dahej ya sati pratha is dhong hai
120,121 muslims ka womens ko lekar dohra charitr fir saamne aaya ab @shaziailmi ko tripletalaq par bolne se roka gaya
121,122 freedomofspeech wale sickulars ab kaha hai jab @shaziailmi ko tripletalaq jaise important issue ko discuss karne ki freedom nhi hai
122,123 sahi cheej par debate ki jaroorat hai tripletalaq koi nhi karega na karne dega but desh k tukde k bare me savko freedomofspeech chahiye
123,124 shariyat nahi chalne wala ab tripletalaq ban hoga aur uniform civil code ayega wait n watch
124,125 so sad narendramodi g kaha ho beheno ki hifazat ka new rasta banao hindu samaz me tripletalaq lago karo jai hind
125,126 where is the team of tripletalaq modi ji behne yaad hai sack this culprit @premshuklabjp ya aurto par diya hua bhaashan bhi jumla hi tha
126,127 whatsapp pe tripletalaq ho saqta hai to kuch v ho sakta hai kya ek larki ka jindegi se suspension bara ho gaya
127,128 umar ho gayi hai shayad bhool gaye ho months back riots killed people in bashirhat tab kahan thay aap tripletalaq bachaa rahey thay
128,129 @narendramodi sir jaise tripletalaq women k agnst tha wse hi sec ipc v kisi samuday k khilaf hai ab sari umiden aap se hi h lgbt
129,130 tripletalaq talak se outgoing bandh kar diya ab clericsforchildmarriage se incoming bandh kar diya islam khatre mein he
130,131 sunne mai aaya hai k tripletalaq k baad kuch ladke court jakr qubool hai replace krke bolozubaankesri ki maang ki hai vimaaltroll
131,132 woman given talaq for not bearing male child @asaadowaisi ji kabhi iske liye aawaz utha liya karo tripletalaq
132,133 agar kisi ka hasben jahil ho to tripletalaq dekar kam se kam os larki ki jaan to bach jati hai or hindu to talaq nahi killing karte hain
133,134 sadak par lana galat hy lekin tripletalaq ka hal islamic cort banakr nikala jae warna desh tutega
134,135 tripletalaq kisi ke murder se to acha hy lekin pehle murde ko jalane pr ban lage
135,136 rape pideeton ke sath sath thodi chinta triple talaq pideet mahilao ka bhi kariye madam tripletalaq
136,137 jahan tak mujhe yaad hai inhe jufge saheb ne tripletalaq ke favour mein verdict diya tha kya wo desh hit mein tha tripletalaq
137,138 tripletalaq pe ban bahot jaruri he aaj ke zamaane me galat fayda utha rahe he aaj kal ke log iska
138,139 @vsknagpur fact hai sir ji up me tripletalaq ek bada issue tha muslim mahilaon ne modi ji ko bharpoor vote diye hain electionresults secular tripletalaq muslimwomen
139,140 khud ki bhi koi responsibility samjho modi ji bas bhasan se kaam kab tak chaloge lovejihad unemployment tripletalaq poverty pharmacist medical in loss in business ki samasyao ko bhi sudhariye aur ye kaam sirf aap hi karwa sakte hai
140,141 just one thing tripletalaq ho ya rammandir congress and kapilsibal hamesha andho k hi paksh me dalil dete h like jnu rahul gandhi kanahiya k sath tha
141,142 small village ka bhi news dikhao kabi tripletalaq kabi kashmiri up yogi in se bhi bahar niklo sir ji @aajtak @sardesairajdeep
142,143 tripletalaq ke issue me inko muslimwomenempowerment ki fikr hai but inki safety ka koi arrangement nhi
143,144 tripletalaq iss rasm ka najayaj use ho raha hai mazak bana rakha hai talaq ko bored talaq de do nayi lai aao tbhi dakhl nahi chahte
144,145 tripletalaq wah galti husband kare aur saza bhugte aurat uski marzi koi jan na hi nah chahta saza pati ko milni chahiye
145,146 jo community janwr ko bachake insano ko mar rhi h wo tripletalaq p muslim aurto ko haq dilane ki baat kr rhi h strange
146,147 @narendramodi kua sirf tripletalaq par bolna hai itne bade unrest hai kashmir mein ek shabd nai nikal raha hai kya baat hai
147,148 jinki aurto ko sbse zyada divorce milte ho desh m wo log tripletalaq p chilla rahe h
148,149 ji tripletalaq triple ke baat tum ne bahot ke jo hindu widows phir se shaadi karna chahate hai uske liya kuch bolo
149,150 tripletalaq smriti irani pehle degree ka kya hai wo clear kare baadme doosro ko stands clear karne ko kahe @tarekfatah @sardanarohit tripletalaq
150,151 apne desh mei content ki bhi barsaat ho rahi hai tripletalaq righttoprivacy rapistbaba china mumbairains
151,152 shut up you jihadi sanghan abdul itna gussa kyu hain bhai tripletalaq ban hua hai is liye
152,153 muslim behenon kon justice milne par khush ho rahe the bhakts hindu behen ko justice mila toh aag laga diye tripletalaq haryanaburning
153,154 tumne saal tak kya ukhaad lia pehle khud ko dekho bad me kisi dusre ko kuch kehna or rhi bat tripletalaq ki to suno tumko muslim sirf vote bank hi najar aate h or agr koi muslim aurto ki help krna chahta h to tumko usme b dikkat hori h shameonyou
154,155 tripletalaq jis triple talaq ko le kar india mai ladai ho rehi hai wo aisa koi islamic order nhi hai jise na manne par iman chala jaye
155,156 are atleast we have guts to support tripletalaq tum pe nhi biti hai tabhi paata nhi pain kya hota hai are ek women ho samhjo warna shame
156,157 bibi @ranaayyub khud ko liberal samjhti hai but tripletalaq see muslim women ko faida hogga uske against hai waah
157,158 bibi @ranaayyub ke ghar mein ghanta pani nahi ayye to issue bana deti hai but tripletalaq se honne wale issues koi issues nahi hai tripletalaq
158,159 congress ke lawyer diwali pe patakhe ban karwate hain rammandir ke against khade hote hain tripletalaq ke favour mein case ladte hain aur kehte hain hum hinduon ke against nahi hai hamare maathe pe c nahi likha ayodhya shauryadiwas
159,160 tum logo mein aurto aur aadmion mein inequality kyu hai tripletalaq agar aurat dene lag jaye to fat jaye sab admio ki
160,161 tripletalaq to band hona chahiye jin muslims ko dikkat hai leave india jo govt kahegi wahi hoga
161,162 govt ke pas kashmir ke liye koi soch ya action plan nahi gaurakshak kashmir tripletalaq ke naam pr gadbad or gumrahi ke siwa koi kam nahi pic twitter com iaqaggdfdy
162,163 @tarekfatah saab mubarak ho aap ke efforts ab aahista aahista rang dikhane lage hain muslimwomendignity tripletalaq
163,164 @anjanaomkashyap tripletalaq specialreport aok aap ko mam salute karti hu aap jesi puri duniya mein koi bhi nehilove u mampic twitter com edonsxfxj
164,165 jo log apne maa aur apne biwi ke nahy hosake aise log tripletalaq pe opinion derahe hai pehle apni aurton ko toh sambhal lo na mardon
165,166 alag hoi but through court naaki whatsapp krke chitthi bhej ke teen talaq bol ke gharelu hinsa se bura hai tripletalaq
166,167 agarwal ji hamara kahna hai ki britain burka ban ki bat kar to raha hai hum to abhi tripletalaq me hi uljhe hai
167,168 sabhi muslims ko desh se bahar nikalo jo rammandir banane nahi de rha or tripletalaq ko support krta he
168,169 life banane me se saal nikal jate he or kisi ko haq nahi he ki wo sirf word me kisi ki life barbaad kare tripletalaq
169,170 kamal ki baat j jo log tripletalaq ke against maulavis k against awaz nhi uthate wo loudspeaker per azan k liye bhasan de rhe h
170,171 arre yaar sati pratha b band ki gyi na kuch to galat laga hoga us time to phr tripletalaq kyun nahi isko hindu muslim me mat bandho
171,172 jitni awaaj loudspeaker ke liye hai wo sayad tripletalaq ke liye hoti toh jyada acha hota sharm kro doston sonunigam
172,173 oh bhai mere ye bhi bata de ki rahulgandhi jihadi jignes mevani aur unar khalid ka support kyun kar rahe hain does rahulgandhi wants a divided india why rahulgandhi support tripletalaq
173,174 typographical error ko toh aap theek kar lo bill pass karne aur karvane ki baat karte hain besieged nahi beseeched behter shabd hai joh sc ne use kiya hoga mujhe aapke ke handle ka editor bana do merriamwebsterdictionary oxforddictionary tripletalaqbill tripletalaq
174,175 tripletalaq teentalaq jahil aadmi deta h apne khud muslims ka education maha reservation rok diya h to zalim kon hua tripletalaq
175,176 government isi tripletalaq ke mudde ko hilight kiye ja rahi hai aur baki problems pe pratikriya aati hai ki hum kadi ninda karte hain tripletalaq doubt
176,177 aa gaye na asliyat pe aap bhi government ki tarah politics khel gaye aap bhi baaki problems chood ke tripletalaq par raajniti karne lage
177,178 muslim personal law board ko khatam kiya jaye ya fir jitne bhi dharm india me he sabke apne apne personal law board khol do tripletalaq
178,179 triple talaq khatam hote hi desh ki gareebi mit jayegi desh ki economy double ho jayegi desh se corruption khatam ho jayega tripletalaq
179,180 kutte ki duum kabhi seedhi nahin hoti shame on you @incindia tripletalaq
180,181 tripletalaq besharmi aur makkari ki had hai pet cheer kar pregnant aurat ko marne wale muslim aurton ki fikr me mare ja rahe hain
181,182 ishratjahan ye sabko pahle se hi maloom tha tripletalaq is not last lets wait till avhi kya kya hota hai
182,183 anti triple talaq rule aa gaya warna jnu ka hostel ise dene wala tha tripletalaq
183,184 ttksawal tripletalaq ka ek process hai quran k hisab se agar kuch maulana galat fatweh dey rahey hai tho uney boycott karey shariah nahi
184,185 @sardanarohit kul mila kr baat male ego ki hai yha dunia ko pichhe le jana chahte hai ye tripletalaq
185,186 i am definitely against tripletalaq ye band hona hi chahiye aur fir jasodaben ko bhi justice milni chahiye
186,187 triple talaq is cheerharan the st century mahabharata has gone awry tripletalaq sonunigam
187,188 uttar pradesh chief minister @myogiadityanath ka tripletalaq par shaandaar chakka ye khatam karo uniform civil code lao jai ho
188,189 bhaiyya gulam aapne congress ne saal mai kyoun nahi tripletalaq ka hall doonda kya muslim auratei entertainment ka samaagri hai
189,190 @narendramodi tripletalaq ke baad sir ab dahej ke against kuch kade kanoon banaiye pls address this problem
190,191 har ak cheez ke liye bjp ko jimedar bara i vali congress tripletalaq ban ne q bjp ko credit nhi dena chahati mullonkidalali
191,192 cr muslim bade aasani se tripletalaq pe faisal sunlte hai or ek rapist ramrahimsingh ke faisle pe andh bhak desk ko jala rhe h wah wah
192,193 aisa nai but yeh jo fatwa bolte hai tripletalaq ke against hai jo hypocrites hai terrorist hai unke virodhi hai hum
193,194 ye to bata de kis law k hisab se yashodaben ko akela chor dia tha unke pati ne tripletalaq ya divorce jawab zarur diyo
194,195 besharmi ki hadd hoti hai mahilaon ke naam pe dukaan chalane wale abhi tripletalaq ko support kar rahe hain sharia bhi koi cheez h by god
195,196 tripletalaq amir sharukh salman aap triple talaq ke against muslim women ka sath kyu nhee dete kya ye apki duty nhee hai
196,197 tripletalaq ko media galat tarah se pesh kar raha hy take muslim khud isko ban karane par raazi ho jae dusre tweet me dekho
197,198 prohibit tripletalaq desh me sab ka equal hauqe desh desh ke law alag alag q uniformcivilcode  desh rule @narendramodi @badlega india
198,199 tripletalaq jo isko support kar rahe hai wo bar ladki jarur bane taqi pata to chale kysa lgta hai shame
199,200 tripletalaq muslim aurto ki asli condition maine dekhi hain bohot hi bhadda aur khoode se bhi battar haalat main rakkha jaata hain unhe
200,201 tripletalaq har baat par react karne wale rahu rahul ketu keju kyu chup hai abhi tak
201,202 tripletalaq common muslim women jiski jawaan beti ko nukkad ke launde aate jaate tamatar maarte hain rape bhi kar dete hain
202,203 news valo ko debate karne k liye kuch milta nahi h tripletalaq ko leke beth jate h
203,204 tripletalaq ram mandir ke vishay me maulanas ko constitution yaad aata hai aur triple talaq ke waqt sharia bloody hypocrite maulanas
204,205 aunty ji tripletalaq ban nahi hai instant tripletalaq banned hai agar kuch buddhi bachi hai to judgement padh ke aayiye bina homework ke thothli debate kyun
205,206 itna gira hua tweet @yuvadesh woh bhi gujarat ke gaurav @narendramodi ji ke baare mein shameful
206,207 ya tripletalaq me hi busy rhegi yahan hm student ka aaye din rape ho rha ha to uska kuchh ni
207,208 wow glad to see bjp walo ko tripletalaq ke siwa v kuch trend karne ko mila congrats mayor preetyagarwal pic twitter com gypkcrowd
208,209 kuch talve chatne wale tripletalaq ko bhi astha ka visay batate hai wah aur aise log sirf congress se hi belong kr skte hai
209,210 paise ke liye @kapilsibal aur vote bank ke liye @incindia apne maa ka bhi tripletalaq accept kar lenge
210,211 just abolish tripletalaq like sati pratha and baal vivah kuritiyan bhale hi dharm se judi ho pr hoti to kuriti hi h
211,212 @kapilsibal what a shame such bheja less nalayak kaminas were in power from to desh ka kabada toh hona hi thaa tripletalaq
212,213 saalon tripletalaq dene waalon kabhi hum kuwaaron ki taraf dekho phir jaanoge ki tum kitne lucky ho
213,214 jise ye pata nahi triple talaq hota kya hai iske rules kya hai ye pata nahi wo aaj talaq par baat kar raha hai wah re tripletalaq
214,215 ma am pahle tripletalaq gaya aur ab righttoprivacy bhi aa gaya ab to double party banti hai aapki taraf se
215,216 agar teen bar talaq bolne se talaq nahi ho sakta to fb or whatsapp pe bar iloveyou bolne par block bhi nahi hona chaiye tripletalaq
216,217 what a joke sala india mein kuch vi ho sakta hain rape karu no jail beef khayu to sal ki jail kya joke hain boss now india is in dark phase tripletalaq
